Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault
Chino Police Dept,CA,12,80704,258,4,7,,47,200
Chino Hills,CA,12,76943,63,0,5,,11,47
Chowchilla Police Dept,CA,12,17696,81,0,3,,7,71
Chula Vista Police Dept,CA,12,255073,595,2,29,,248,316
Claremont Police Dept,CA,12,35623,37,0,2,,23,12
Clayton Police Dept,CA,12,11439,2,0,0,,2,0
Clearlake Police Dept,CA,12,14951,125,2,13,,21,89
Clovis Police Dept,CA,12,99483,181,0,23,,47,111
Coachella Police Dept,CA,12,43330,118,2,2,,56,58
Coalinga Police Dept,CA,12,16398,131,0,7,,6,118
Colton Police Dept,CA,12,53403,161,2,6,,69,84
Commerce,CA,12,12995,83,1,2,,39,41
Compton Police Dept,CA,12,97907,1242,36,26,,360,820
Concord Police Dept,CA,12,125464,407,1,12,,159,235
Contra Costa County Sheriff Department,CA,12,,429,6,29,,118,276
Corcoran Police Dept,CA,12,23290,71,0,2,,10,59
Corona Police Dept,CA,12,160159,162,9,14,,65,74
Coronado Police Dept,CA,12,23183,11,0,2,,4,5
Costa Mesa Police Dept,CA,12,112538,252,1,46,,94,111
Covina Police Dept,CA,12,48524,138,0,9,,52,77
Cudahy,CA,12,24091,111,0,4,,38,69
Culver City Police Dept,CA,12,39452,161,0,7,,88,66
Cupertino,CA,12,60440,41,0,3,,23,15
Cypress Police Dept,CA,12,49067,50,0,4,,17,29
Daly City Police Dept,CA,12,104536,223,0,15,,90,118
Dana Point,CA,12,34262,70,0,9,,10,51
Danville,CA,12,43411,17,0,3,,2,12
Davis Police Dept,CA,12,66126,103,3,31,,20,49
Delano Police Dept,CA,12,52210,309,6,4,,81,218
Desert Hot Springs,CA,12,27936,277,2,3,,63,209
Diamond Bar,CA,12,56619,62,0,3,,25,34
Dinuba Police Dept,CA,12,23440,214,0,6,,20,188
Dixon Police Dept,CA,12,18743,35,0,4,,1,30
Downey Police Dept,CA,12,113222,326,7,12,,171,136
Duarte,CA,12,21759,41,1,1,,19,20
Dublin,CA,12,49789,70,0,1,,15,54
East Palo Alto Police Dept,CA,12,29086,347,8,11,,80,248
Eastvale,CA,12,54882,63,1,9,,18,35
El Cajon Police Dept,CA,12,102012,386,2,29,,143,212
El Centro Police Dept,CA,12,43249,144,1,7,,54,82
El Cerrito Police Dept,CA,12,24184,92,0,0,,63,29
El Dorado County Sheriff Department,CA,12,,210,2,26,,16,166
El Monte Police Dept,CA,12,115591,340,3,14,,155,168
El Segundo Police Dept,CA,12,16911,37,0,0,,19,18
Emeryville Police Dept,CA,12,10415,132,0,2,,70,60
Encinitas,CA,12,61433,127,1,9,,21,96
Escondido Police Dept,CA,12,148650,596,6,39,,201,350
Eureka Police Dept,CA,12,26881,192,2,17,,73,100
Exeter Police Dept,CA,12,10506,20,1,3,,4,12
Fairfield Police Dept,CA,12,108425,498,3,13,,165,317
Farmersville Police Dept,CA,12,10786,47,0,1,,15,31
Fillmore,CA,12,15206,26,0,1,,4,21
Folsom Police Dept,CA,12,73782,98,0,7,,35,56
Fontana Police Dept,CA,12,203427,725,10,33,,202,480
Fortuna Police Dept,CA,12,11803,41,0,2,,4,35
Foster City Police Dept,CA,12,32652,15,0,2,,3,10
Fountain Valley Police Dept,CA,12,56805,92,0,9,,20,63
Fremont Police Dept,CA,12,224475,273,1,25,,136,111
Fresno County Sheriff Department,CA,12,,849,11,8,,93,737
Fresno Police Dept,CA,12,508876,2552,40,53,,903,1556
Fullerton Police Dept,CA,12,139676,372,0,29,,107,236
Galt Police Dept,CA,12,24553,63,2,7,,15,39
Garden Grove Police Dept,CA,12,175469,455,5,16,,137,297
Gardena Police Dept,CA,12,59703,245,0,16,,144,85
Gilroy Dept Of Public Safety,CA,12,51240,180,3,15,,51,111
Glendale Police Dept,CA,12,195366,181,1,8,,75,97
Glendora Police Dept,CA,12,50893,65,2,7,,30,26
Goleta,CA,12,30401,43,0,7,,9,27
Grand Terrace,CA,12,12364,38,0,1,,16,21
Grass Valley Police Dept,CA,12,12792,115,0,2,,10,103
Greenfield Police Dept,CA,12,16922,89,1,1,,31,56
Grover Beach Police Dept,CA,12,13398,39,0,7,,7,25
Hanford Police Dept,CA,12,54425,299,2,10,,63,224
Hawaiian Gardens Police Dept,CA,12,14437,56,1,2,,21,32
Hawthorne Police Dept,CA,12,86132,580,6,32,,299,243
Hayward Police Dept,CA,12,150955,589,5,33,,333,218
Healdsburg Police Dept,CA,12,11483,25,0,3,,2,20
Hemet Police Dept,CA,12,81698,447,4,24,,173,246
Hercules Police Dept,CA,12,24831,22,0,2,,6,14
Hermosa Beach Police Dept,CA,12,19858,27,0,4,,6,17
Hesperia,CA,12,92621,371,1,17,,83,270
Highland,CA,12,54462,191,3,8,,56,124
Hillsborough Police Dept,CA,12,11245,0,0,0,,0,0
Hollister Police Dept,CA,12,36414,195,4,14,,26,151
Humboldt County Sheriff Department,CA,12,,153,3,18,,32,100
Huntington Beach Police Dept,CA,12,195842,362,2,31,,100,229
Huntington Park Police Dept,CA,12,58852,359,1,6,,197,155
Imperial County Sheriff Department,CA,12,,199,1,14,,11,173
Imperial Police Dept,CA,12,15943,7,0,0,,1,6
Indio Police Dept,CA,12,80243,468,1,34,,120,313
Inglewood Police Dept,CA,12,111672,739,14,29,,326,370
Irvine Police Department,CA,12,235830,113,2,12,,38,61
Jurupa Valley,CA,12,98090,267,3,12,,75,177
Kerman Police Dept,CA,12,14543,45,0,2,,9,34
Kern County Sheriff Department,CA,12,,2157,23,92,,409,1633
King City Police Dept,CA,12,13260,68,5,0,,20,43
Kings County Sheriff Department,CA,12,,171,4,12,,16,139
Kingsburg Police Dept,CA,12,11651,23,0,3,,2,18
La Canada-Flintridge,CA,12,20572,12,0,0,,3,9
La Habra Police Dept,CA,12,61740,88,0,8,,33,47
Lamesa Police Dept,CA,12,58482,181,1,7,,64,109
La Mirada,CA,12,49150,72,1,9,,14,48
La Palma Police Dept,CA,12,15950,10,0,0,,8,2
La Puente,CA,12,40415,143,3,12,,48,80
La Quinta,CA,12,39150,68,0,5,,26,37
La Verne Police Dept,CA,12,31439,37,0,1,,21,15
Lafayette,CA,12,24829,21,0,0,,6,15
Laguna Beach Police Dept,CA,12,23313,41,0,3,,5,33
Laguna Hills,CA,12,31134,53,0,3,,12,38
Laguena Niguel,CA,12,64894,57,0,4,,13,40
Laguna Woods,CA,12,16584,5,0,2,,1,2
Lake County Sheriff Department,CA,12,,216,2,16,,29,169
Lake Elsinore,CA,12,56232,103,3,2,,32,66
Lake Forest,CA,12,79336,105,2,12,,23,68
Lakewood,CA,12,81086,225,2,11,,110,102
Lancaster,CA,12,159792,832,9,40,,261,522
Lawndale,CA,12,33234,162,1,9,,51,101
Lemon Grove,CA,12,26156,145,1,8,,45,91
Lemoore Police Dept,CA,12,24802,111,0,6,,28,77
Lincoln Police Dept,CA,12,44831,25,0,6,,7,12
Lindsay Police Dept,CA,12,13208,40,0,1,,12,27
Livermore Police Dept,CA,12,84350,270,0,12,,44,214
Livingston Police Dept,CA,12,13683,33,2,1,,2,28
Lodi Police Dept,CA,12,63639,287,1,11,,89,186
Loma Linda,CA,12,23701,61,0,1,,10,50
Lomita,CA,12,20622,66,0,2,,17,47
Lompoc Police Dept,CA,12,43581,188,0,17,,31,140
Long Beach Police Dept,CA,12,469665,2346,34,103,,1118,1091
Los Alamitos Police Dept,CA,12,11735,24,0,2,,11,11
Los Altos Police Dept,CA,12,30225,23,0,5,,13,5
Los Angeles County Sheriff Department,CA,12,,5323,72,171,,1357,3723
Los Angeles Police Dept,CA,12,3878725,16524,251,764,,7885,7624
Los Banos Dept Of Public Safety,CA,12,36965,109,1,3,,31,74
Los Gatos Police Dept,CA,12,30351,25,0,3,,5,17
Lynwood,CA,12,71077,436,2,14,,189,231
Madera County Sheriff Department,CA,12,,367,6,28,,18,315
Madera Police Dept,CA,12,62973,568,7,28,,107,426
Malibu,CA,12,12891,28,0,3,,11,14
Manhattan Beach Police Dept,CA,12,35930,64,0,5,,34,25
Manteca Police Dept,CA,12,72261,212,0,4,,79,129
Marin County Sheriff Department,CA,12,,99,2,7,,12,78
Marina Dept Of Public Safety,CA,12,20426,50,0,4,,13,33
Martinez Police Dept,CA,12,36910,53,0,3,,17,33
Marysville Police Dept,CA,12,12168,87,0,10,,17,60
Maywood Police Dept,CA,12,27744,112,4,4,,32,72
Mcfarland,CA,12,12288,65,1,2,,18,44
Mendocino County Sheriff Department,CA,12,,265,4,21,,21,219
Menlo Park Police Dept,CA,12,33146,53,0,3,,18,32
Merced County Sheriff Department,CA,12,,545,17,15,,36,477
Merced Police Dept,CA,12,81329,556,5,19,,133,399
Mill Valley Police Dept,CA,12,14239,11,0,0,,2,9
Milpitas Police Dept,CA,12,69522,93,1,8,,56,28
Mission Viejo,CA,12,95895,62,0,4,,22,36
Modesto Police Dept,CA,12,204252,1704,14,72,,450,1168
Monrovia Police Dept,CA,12,37071,57,0,1,,23,33
Montclair Police Dept,CA,12,37785,187,2,11,,79,95
Montebello Police Dept,CA,12,63566,183,2,11,,81,89
Monterey County Sheriff Department,CA,12,,205,12,11,,46,136
Monterey Police Dept,CA,12,29338,120,1,10,,38,71
Monterey Park Police Dept,CA,12,61152,104,0,8,,60,36
Moorpark,CA,12,35264,37,0,3,,7,27
Moraga Police Dept,CA,12,16664,11,0,4,,0,7
Moreno Valley,CA,12,201284,638,10,31,,312,285
Morgan Hill Police Dept,CA,12,39907,63,1,11,,10,41
Morro Bay Police Dept,CA,12,10412,31,0,3,,1,27
Mountain View Police Dept,CA,12,77399,157,0,13,,32,112
City Of Murrieta Police Dept,CA,12,107768,70,1,10,,21,38
Napa County Sheriff Department,CA,12,,39,0,5,,4,30
Napa Police Dept,CA,12,78761,255,2,26,,47,180
National City Police Dept,CA,12,59637,314,1,11,,137,165
Nevada County Sheriff Department,CA,12,,274,2,13,,8,251
Newark Police Dept,CA,12,43950,123,1,9,,40,73
Newman Police Dept,CA,12,10691,36,0,0,,4,32
Newport Beach Police Dept,CA,12,87639,73,2,7,,13,51
Norco,CA,12,27497,42,1,2,,7,32
Norwalk,CA,12,106518,407,6,16,,150,235
Novato Police Dept,CA,12,53735,107,0,5,,30,72
Oakdale Police Dept,CA,12,21340,50,0,9,,14,27
Oakland Police Dept,CA,12,403887,7984,90,180,,4922,2792
Oakley,CA,12,37824,70,0,4,,19,47
Oceanside,CA,12,172525,634,9,41,,182,402
Ontario Police Dept,CA,12,168144,453,9,31,,167,246
Orange County Sheriff Department,CA,12,,241,1,9,,23,208
Orange Police Dept,CA,12,140304,147,4,8,,64,71
Orinda,CA,12,18520,10,0,0,,0,10
Oroville Police Dept,CA,12,15581,78,2,10,,26,40
Oxnard Police Dept,CA,12,202594,651,15,10,,328,298
Pacific Grove Police Dept,CA,12,15518,22,0,2,,7,13
Pacifica Police Dept,CA,12,38494,66,0,8,,7,51
Palm Desert,CA,12,50456,110,2,7,,30,71
Palm Springs Police Dept,CA,12,46282,255,0,19,,99,137
Palmdale,CA,12,156522,759,10,27,,257,465
Palo Alto Police Dept,CA,12,66964,54,0,4,,29,21
Palos Verdes Estates Police Dept,CA,12,13658,6,0,1,,0,5
Paradise Police Dept,CA,12,26222,68,1,11,,7,49
Paramount,CA,12,54868,222,3,8,,122,89
Parlier Police Dept,CA,12,14856,91,2,6,,18,65
Pasadena Police Dept,CA,12,139003,434,3,25,,162,244
Paso Robles Police Dept,CA,12,30795,103,2,8,,6,87
Patterson Police Dept,CA,12,20733,41,1,2,,26,12
Perris,CA,12,72171,241,6,1,,102,132
Petaluma Police Dept,CA,12,59224,179,0,17,,31,131
Pico Rivera,CA,12,63710,207,3,7,,65,132
Piedmont Police Dept,CA,12,10963,20,0,0,,13,7
Pinole Police Dept,CA,12,18848,69,2,9,,30,28
Pittsburg Police Dept,CA,12,66387,185,4,2,,111,68
Placentia Police Dept,CA,12,52002,66,2,6,,16,42
Placer County Sheriff Department,CA,12,,262,1,28,,13,220
Placerville Police Dept,CA,12,10339,63,0,3,,7,53
Pleasant Hill Police Dept,CA,12,34044,55,0,1,,40,14
Pleasanton Police Dept,CA,12,72975,60,0,3,,29,28
Pomona Police Dept,CA,12,151366,809,29,31,,295,454
Port Hueneme Police Dept,CA,12,21910,57,1,4,,11,41
Porterville Police Dept,CA,12,55267,194,8,8,,44,134
Poway,CA,12,49444,90,0,8,,16,66
Rancho Cucamonga,CA,12,172262,331,1,14,,128,188
Rancho Mirage,CA,12,17816,26,0,1,,8,17
Rancho Palos Verdes,CA,12,42542,30,0,1,,7,22
Rancho Santa Margari,CA,12,49190,17,0,3,,6,8
Red Bluff Police Dept,CA,12,14170,146,3,9,,19,115
Redding Police Dept,CA,12,91035,585,2,49,,146,388
Redlands Police Dept,CA,12,70282,215,2,15,,84,114
Redondo Beach Police Dept,CA,12,67993,160,1,4,,43,112
Redwood City Police Dept,CA,12,79707,190,1,26,,66,97
Reedley Police Dept,CA,12,25018,157,0,7,,25,125
Rialto Police Dept,CA,12,102520,434,4,19,,192,219
Richmond Police Dept,CA,12,107341,1112,16,35,,407,654
Ridgecrest Police Dept,CA,12,28537,154,4,9,,24,117
Ripon Police Dept,CA,12,14802,15,0,1,,5,9
Riverbank,CA,12,23474,37,0,1,,13,23
Riverside County Sheriff Department,CA,12,,692,20,30,,142,500
Riverside Police Dept,CA,12,316423,1330,10,78,,495,747
Rocklin Police Dept,CA,12,59621,62,0,5,,17,40
Rohnert Park Dept Of Public Safety,CA,12,41326,180,1,16,,24,139
Rosemead,CA,12,54587,149,0,6,,65,78
Roseville Police Dept,CA,12,126236,261,1,13,,64,183
Sacramento County Sheriff Department,CA,12,,3033,30,158,,1027,1818
Sacramento Police Dept,CA,12,478182,3137,34,95,,1158,1850
Salinas Police Dept,CA,12,155742,1001,24,36,,451,490
San Bernardino County Sheriff Department,CA,12,,980,18,59,,133,770
San Bernardino Police Dept,CA,12,214322,1949,45,74,,794,1036
San Bruno Police Dept,CA,12,42495,102,1,8,,35,58
San Clemente,CA,12,65295,56,0,3,,21,32
San Diego County Sheriff Department,CA,12,,1505,6,78,,206,1215
San Diego Police Dept,CA,12,1349306,5303,39,316,,1456,3492
San Dimas,CA,12,33854,65,0,4,,18,43
San Fernando Police Dept,CA,12,23955,85,0,2,,28,55
San Francisco Police Dept,CA,12,833863,7064,48,161,,4202,2653
San Gabriel Police Dept,CA,12,40287,103,1,5,,31,66
San Jacinto Police Dept,CA,12,45714,124,5,6,,64,49
San Joaquin County Sheriff Department,CA,12,,640,14,20,,144,462
San Jose Police Dept,CA,12,992143,3215,38,270,,1095,1812
San Juan Capistrano,CA,12,35585,57,0,0,,13,44
San Leandro Police Dept,CA,12,87490,394,3,26,,251,114
San Luis Obispo County Sheriff Department,CA,12,,298,2,26,,9,261
San Luis Obispo Police Dept,CA,12,46095,161,0,34,,26,101
San Marino Police Dept,CA,12,13308,20,0,2,,3,15
San Mateo County Sheriff Department,CA,12,,310,0,13,,51,246
San Mateo Police Dept,CA,12,100440,239,0,29,,85,125
San Pablo Police Dept,CA,12,29893,200,0,2,,102,96
San Rafael Police Dept,CA,12,58725,206,0,26,,77,103
San Ramon,CA,12,74434,27,0,0,,14,13
Sanger Police Dept,CA,12,24649,146,2,15,,25,104
Santa Ana Police Dept,CA,12,332848,1121,13,51,,463,594
Santa Barbara County Sheriff Department,CA,12,,268,1,42,,29,196
Santa Barbara Police Dept,CA,12,90006,362,2,32,,82,246
Santa Clara County Sheriff Department,CA,12,,189,3,13,,23,150
Santa Clara Police Dept,CA,12,120150,172,0,13,,55,104
Santa Clarita,CA,12,204951,276,2,19,,97,158
Santa Cruz County Sheriff Department,CA,12,,296,3,20,,35,238
Santa Cruz Police Dept,CA,12,62517,407,4,33,,85,285
Santa Fe Springs,CA,12,16936,75,0,3,,28,44
Santa Maria Police Dept,CA,12,102051,490,3,34,,122,331
Santa Monica Police Dept,CA,12,92488,324,7,27,,120,170
Santa Paula Police Dept,CA,12,30159,108,6,6,,33,63
Santa Rosa Police Dept,CA,12,171564,541,3,42,,105,391
Santee,CA,12,55924,156,0,5,,31,120
Saratoga,CA,12,30897,14,0,3,,4,7
Scotts Valley Police Dept,CA,12,11694,11,0,1,,2,8
Seal Beach Police Beach,CA,12,24798,16,0,1,,8,7
Seaside Police Dept,CA,12,34147,120,4,7,,21,88
Selma Police Dept,CA,12,23935,191,0,10,,35,146
Shafter Police Dept,CA,12,17139,58,1,7,,13,37
Shasta County Sheriff Department,CA,12,,501,8,27,,29,437
Sierra Madre Police Dept,CA,12,11048,13,0,1,,1,11
Signal Hill Police Dept,CA,12,11240,32,0,2,,14,16
Simi Valley Police Dept,CA,12,126215,132,3,9,,31,89
Solana Beach,CA,12,13239,27,0,1,,5,21
Soledad Police Dept,CA,12,26637,73,0,6,,15,52
Sonoma County Sheriff Department,CA,12,,592,5,33,,51,503
Sonoma Police Dept,CA,12,10912,38,0,3,,11,24
South El Monte,CA,12,20354,88,1,4,,35,48
South Gate Police Dept,CA,12,95591,496,2,15,,223,256
South Lake Tahoe Police Dept,CA,12,21243,116,3,8,,16,89
South Pasadena Police Dept,CA,12,25937,29,0,3,,16,10
South San Francisco Police Dept,CA,12,66157,118,0,5,,39,74
Stanislaus County Sheriff Department,CA,12,,365,13,20,,106,226
Stanton,CA,12,39128,112,1,8,,45,58
Stockton Police Dept,CA,12,299796,3622,32,91,,1088,2411
Suisun City Police Dept,CA,12,28805,64,1,3,,35,25
Sunnyvale Dept Of Public Safety,CA,12,148160,144,4,16,,51,73
Susanville Police Dept,CA,12,16270,83,2,3,,11,67
Sutter County Sheriff Department,CA,12,,70,2,7,,5,56
Tehama County Sheriff Department,CA,12,,158,1,7,,3,147
Temecula,CA,12,106680,91,3,11,,39,38
Temple City,CA,12,36269,48,1,5,,11,31
Thousand Oaks,CA,12,128884,139,0,7,,42,90
Torrance Police Dept,CA,12,147534,187,1,16,,76,94
Tracy Police Dept,CA,12,85174,152,0,7,,57,88
Truckee,CA,12,16146,18,0,0,,2,16
Tulare County Sheriff Department,CA,12,,641,18,20,,108,495
Tulare Police Dept,CA,12,61424,430,6,15,,77,332
Tuolumne County Sheriff Department,CA,12,,90,0,6,,8,76
Turlock Police Dept,CA,12,70075,310,2,12,,80,216
Tustin Police Dept,CA,12,78836,100,1,6,,36,57
Twenty-Nine Palms,CA,12,25914,74,2,9,,5,58
Ukiah Dept Of Public Safety,CA,12,15874,116,0,8,,15,93
Union City Police Dept,CA,12,72480,218,2,3,,92,121
Upland Police Dept,CA,12,75640,163,0,9,,67,87
Vacaville Police Dept,CA,12,94347,201,1,14,,66,120
Vallejo Police Dept,CA,12,118336,1019,25,30,,424,540
Ventura County Sheriff Department,CA,12,,123,3,13,,23,84
Ventura Police Dept,CA,12,108204,262,6,21,,99,136
Victorville,CA,12,121699,651,9,36,,202,404
Visalia Police Dept,CA,12,127824,500,8,31,,156,305
Walnut,CA,12,30279,37,0,1,,10,26
Walnut Creek Police Dept,CA,12,66149,78,0,4,,31,43
Watsonville Police Dept,CA,12,52076,237,3,20,,71,143
West Covina Police Dept,CA,12,107867,231,1,2,,106,122
West Hollywood,CA,12,34902,216,0,14,,68,134
West Sacramento Police Dept,CA,12,49751,205,1,16,,98,90
Westminster Police Dept,CA,12,91885,283,0,13,,84,186
Whittier Police Dept,CA,12,86450,223,3,17,,73,130
Windsor,CA,12,27249,105,0,9,,8,88
Woodland Police Dept,CA,12,56523,272,1,16,,48,207
Yolo County Sheriff Department,CA,12,,43,0,4,,3,36
Yorba Linda,CA,12,67492,30,0,5,,6,19
Yuba County Sheriff Department,CA,12,,185,3,22,,24,136
Yuba City Police Dept,CA,12,65133,174,2,15,,39,118
Yucaipa,CA,12,52524,107,0,7,,31,69
Yucca Valley,CA,12,21214,86,3,7,,15,61
Aberdeen Police Dept,MD,12,15039,50,0,4,,20,26
Annapolis Police Dept,MD,12,38649,169,4,8,,63,94
Anne Arundel County Police Department,MD,11,,1924,8,58,,498,1360
Baltimore City Police Dept,MD,12,622671,8725,233,298,,3734,4460
Baltimore County Police Department,MD,11,,3842,16,116,,1364,2346
Bel Air Police Dept,MD,12,10314,47,0,2,,11,34
Calvert,MD,12,,99,3,14,,26,56
Cambridge City Police,MD,12,12530,119,0,2,,31,86
Cecil County Sheriff Department,MD,12,,105,2,14,,16,73
Charles County Sheriff Office,MD,12,,541,2,24,,141,374
Cumberland Police Dept,MD,12,20495,160,1,20,,44,95
Easton Police Dept,MD,12,16721,41,0,6,,15,20
Elkton Police Dept,MD,12,15629,194,0,11,,40,143
Frederick County Sheriff Department,MD,12,,216,4,10,,31,171
Frederick Police Dept,MD,12,66709,328,1,7,,98,222
Garrett County Sheriff Office,MD,12,,79,0,1,,2,76
Greenbelt Police Dept,MD,12,23680,106,0,5,,66,35
Hagerstown Police Dept,MD,12,40866,244,5,10,,101,128
Harford County Sheriff Office,MD,12,,484,5,59,,114,306
Havre De Grace Police Dept,MD,12,13530,35,0,3,,11,21
Howard County Police Department,MD,12,,621,4,40,,204,373
Hyattsville Police Dept,MD,12,17955,76,0,1,,56,19
Laurel Police Dept,MD,12,25675,147,0,4,,67,76
Montgomery County Police Department,MD,12,,1687,8,134,,758,787
Ocean Pines,MD,12,12024,30,0,0,,0,30
Prince Georges County Police Department,MD,12,,3502,51,146,,1583,1722
Queen Anne'S County Sheriff Office,MD,12,,73,1,6,,11,55
Salisbury Police Dept,MD,12,31517,326,0,17,,99,210
St. Marys County Sheriff Department,MD,12,,212,2,6,,55,149
Takoma Park Police Dept,MD,12,17349,60,1,2,,37,20
Washington County Sheriff Department,MD,12,,104,0,4,,18,82
Westminster Police Dept,MD,12,18632,88,2,0,,13,73
Wicomico County Sheriff Department,MD,12,,87,2,11,,29,45
Accomack County Sheriff Office,VA,12,,32,3,,9,7,13
Albemarle County Police Department,VA,12,,127,1,,44,24,58
Alexandria Police Dept,VA,12,148519,258,5,,21,118,114
Amherst County Sheriff Office,VA,12,,32,1,,9,2,20
Arlington County Police Department,VA,12,,362,0,,39,126,197
Augusta County Sheriff Office,VA,12,,93,0,,21,12,60
Bedford County Sheriff Office,VA,12,,28,0,,13,2,13
Blacksburg Police Dept,VA,12,42603,32,0,,8,4,20
Botetourt County Sheriff Office,VA,12,,16,1,,3,3,9
Bristol Police Dept,VA,12,17641,59,0,,6,7,46
Campbell County Sheriff Office,VA,12,,69,4,,16,7,42
Caroline County Sheriff Office,VA,12,,31,0,,9,5,17
Carroll County Sheriff Office,VA,12,,28,2,,7,1,18
Charlottesville Police Dept,VA,12,44187,213,1,,22,63,127
Chesapeake Police Dept,VA,12,230577,741,8,,50,155,528
Chesterfield County Police Department,VA,12,,401,9,,77,144,171
Christiansburg Police Dept,VA,12,21581,31,1,,14,3,13
Colonial Heights Police Dept,VA,12,17553,44,1,,15,13,15
Culpeper County Sheriff Office,VA,12,,35,0,,2,3,30
Culpeper Town Police Dept,VA,12,16703,37,0,,3,10,24
Danville Police Dept,VA,12,43133,152,5,,20,60,67
Dinwiddie County Sheriff Department,VA,12,,56,4,,14,6,32
Fairfax (City) Police Dept,VA,12,23801,26,0,,3,11,12
Fairfax County Police Department,VA,12,,1005,12,,172,409,412
Falls Church Police Dept,VA,12,13517,24,1,,4,9,10
Fauquier County Sheriff Office,VA,12,,52,2,,13,10,27
Fluvanna County Sheriff Department,VA,12,,21,1,,4,2,14
Franklin County Sheriff Office,VA,12,,60,4,,8,1,47
Frederick County Sheriff Office,VA,12,,71,1,,29,13,28
Fredericksburg Police Dept,VA,12,28411,115,1,,5,29,80
Front Royal Police Dept,VA,12,14730,30,0,,19,7,4
Gloucester County Sheriff Office,VA,12,,39,0,,11,6,22
Halifax County Sheriff Department,VA,12,,40,0,,15,3,22
Hampton Police Dept,VA,12,136949,293,23,,22,120,128
Hanover,VA,12,,93,1,,13,10,69
Harrisonburg Police Dept,VA,12,51767,106,1,,17,17,71
Henrico County Police Dept,VA,12,,588,13,,35,198,342
Henry County Sheriff Office,VA,12,,180,4,,14,22,140
Herndon Police Dept,VA,12,24561,49,0,,7,18,24
Hopewell Police Dept,VA,12,22305,100,3,,4,35,58
James City County Police Department,VA,12,,59,1,,20,9,29
King George County Sheriff Office,VA,12,,29,0,,9,5,15
